City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,San Ramon De La Nueva Oran,AR,2021-12-12 09:48:34,-23.1322,-64.326,72.43,89,12,1.32
132,Arraial Do Cabo,BR,2021-12-12 09:48:34,-22.9661,-42.0278,76.86,88,75,13.8
133,Mayo,US,2021-12-12 09:48:34,38.8876,-76.5119,45.01,58,1,8.99
134,Porto Novo,BJ,2021-12-12 09:48:35,6.4965,2.6036,85.82,49,25,1.9
135,Bambanglipuro,ID,2021-12-12 09:48:35,-7.95,110.2833,82.42,71,33,7.16
136,Goma,CD,2021-12-12 09:49:35,-1.6792,29.2228,73.69,68,75,11.5
137,Nanortalik,GL,2021-12-12 09:49:36,60.1432,-45.2371,24.64,79,89,21.23
138,Alofi,NU,2021-12-12 09:49:36,-19.0595,-169.9187,73.29,94,0,4.61
139,Shakiso,ET,2021-12-12 09:49:36,5.75,38.9167,79.39,24,29,9.42
140,Carutapera,BR,2021-12-12 09:49:37,-1.195,-46.02,80.76,75,49,9.22
141,Salinopolis,BR,2021-12-12 09:49:37,-0.6136,-47.3561,81.99,72,97,12.68
142,Lakes Entrance,AU,2021-12-12 09:49:37,-37.8811,147.981,60.57,78,0,11.74
143,Fairbanks,US,2021-12-12 09:46:21,64.8378,-147.7164,-8.9,76,90,0.0
144,Broome,US,2021-12-12 09:49:38,42.2506,-75.833,38.01,67,20,4.0
145,Puerto Leguizamo,CO,2021-12-12 09:49:39,-0.1934,-74.7819,71.01,91,96,1.88
146,Vanino,RU,2021-12-12 09:49:39,49.0869,140.2543,23.23,96,100,3.98
147,Minggang,CN,2021-12-12 09:49:39,32.4586,114.0486,47.44,59,71,6.71
148,Takoradi,GH,2021-12-12 09:49:39,4.8845,-1.7554,85.03,70,73,3.96
149,Anda,CN,2021-12-12 09:49:40,46.4,125.3167,5.88,81,4,9.51
150,Zhigansk,RU,2021-12-12 09:49:41,66.7697,123.3711,-13.14,96,100,11.07
151,Aswan,EG,2021-12-12 09:49:41,24.0934,32.907,83.7,41,100,4.88
152,Lusambo,CD,2021-12-12 09:49:41,-4.9667,23.45,85.78,58,100,1.63
153,Koulamoutou,GA,2021-12-12 09:49:42,-1.1303,12.4736,85.55,61,100,2.21
154,Kilindoni,TZ,2021-12-12 09:49:42,-7.9139,39.6668,82.49,68,56,5.61
155,Shetpe,KZ,2021-12-12 09:49:42,44.1667,52.1167,36.64,56,14,12.93
156,Mahon,ES,2021-12-12 09:49:43,39.8885,4.2658,55.96,76,40,11.5
157,Leningradskiy,RU,2021-12-12 09:49:43,69.3833,178.4167,-32.3,94,25,4.65
158,Huallanca,PE,2021-12-12 09:49:43,-9.8993,-76.9417,41.86,82,35,5.48
159,Bontang,ID,2021-12-12 09:49:44,0.1333,117.5,81.46,79,84,5.79
160,Geraldton,AU,2021-12-12 09:49:44,-28.7667,114.6,72.12,60,0,23.02
161,Portland,US,2021-12-12 09:49:44,45.5234,-122.6762,45.18,93,90,1.01
162,Launceston,AU,2021-12-12 09:49:44,-41.45,147.1667,60.15,62,5,11.5
163,Bar Harbor,US,2021-12-12 09:49:45,44.3876,-68.2039,47.01,73,100,23.71
164,Auki,SB,2021-12-12 09:49:45,-8.7676,160.7034,76.86,90,100,4.54
165,Salalah,OM,2021-12-12 09:49:45,17.0151,54.0924,84.29,26,0,16.11
166,San Carlos De Bariloche,AR,2021-12-12 09:49:46,-41.1456,-71.3082,40.75,60,20,20.71
167,Whitehorse,CA,2021-12-12 09:49:46,60.7161,-135.0538,5.09,77,75,10.0
168,Hay River,CA,2021-12-12 09:49:46,60.8156,-115.7999,-2.22,78,75,12.66
169,Jerantut,MY,2021-12-12 09:49:47,3.936,102.3626,79.81,92,46,1.05
170,Constitucion,CL,2021-12-12 09:46:27,-35.3333,-72.4167,50.09,87,12,4.65
171,Saint-Georges,GD,2021-12-12 09:49:47,12.0564,-61.7485,78.48,78,20,9.22
172,Ormara,PK,2021-12-12 09:49:47,25.2088,64.6357,73.11,48,1,5.57
173,Gerash,IR,2021-12-12 09:49:48,27.6652,54.1371,68.14,16,53,3.33
174,Acapulco,MX,2021-12-12 09:49:48,16.8634,-99.8901,76.03,85,42,5.7
175,San Rafael,AR,2021-12-12 09:49:49,-34.6177,-68.3301,59.45,67,1,7.7
176,Montrose,US,2021-12-12 09:49:49,38.4166,-108.2673,18.36,57,10,4.74
177,Beloha,MG,2021-12-12 09:49:49,-25.1667,45.05,101.88,24,1,6.98
178,Ventspils,LV,2021-12-12 09:49:49,57.3894,21.5606,33.73,93,100,3.44
179,Victoria,HK,2021-12-12 09:48:54,22.2855,114.1577,78.76,74,0,1.99
180,Krasnoselkup,RU,2021-12-12 09:50:50,65.7,82.4667,-17.18,93,100,7.54
181,Alexandria,EG,2021-12-12 09:48:18,31.2156,29.9553,68.79,55,100,4.38
182,Pevek,RU,2021-12-12 09:50:50,69.7008,170.3133,-35.27,97,40,4.36
183,Taoudenni,ML,2021-12-12 09:50:51,22.6783,-3.9836,73.0,14,45,14.14
184,Provideniya,RU,2021-12-12 09:50:51,64.3833,-173.3,-9.17,81,0,6.71
185,Garden City,US,2021-12-12 09:50:51,42.3256,-83.331,33.89,81,1,11.5
